stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0921397,,0.0560369,0.0921397,0.6198051,0.6198051,0.6451141,0.9422376,19.5649193,left,-10,0,0,18.9002055,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
1,1,12,19.5731964,,19.5651619,19.5731964,20.0717681,20.0717681,20.0881058,20.3715214,20.7095127,left,-12,1,1,0.6285199,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
2,1,11,20.7215177,,20.7097072,20.7215177,21.221822,21.221822,21.221822,21.5214221,21.7095425,left,-11,1,1,0.475705,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
3,1,11,21.7213195,,21.7097293,21.7213195,22.2218717,22.2218717,22.2218717,22.5216201,22.576182,left,-11,1,1,0.3383204,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
4,1,11,22.5880629,,22.5763687,22.5880629,23.0885833,23.0885833,23.0885833,23.3883758,23.7598563,left,-11,1,1,0.6639599,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
5,1,10,23.7716609,,23.7600602,23.7716609,24.2720138,24.2720138,24.2720138,24.5717513,24.7628114,left,-10,1,1,0.4827637,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
6,1,10,24.7862065,,24.7630018,24.7862065,25.2720504,25.2720504,25.288737,25.5718931,25.8095888,right,10,1,1,0.5305042,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
7,1,10,25.8213762,,25.8097529,25.8213762,26.3221238,26.3221238,26.3221238,26.6215575,26.8098602,left,-10,1,1,0.4734346,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
8,1,9,26.8215009,,26.8100528,26.8215009,27.3221746,27.3221746,27.3221746,27.6216373,27.6934188,right,9,1,1,0.3691079,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
9,1,9,27.7057662,,27.6936113,27.7057662,28.2056951,28.2056951,28.2056951,28.5052318,28.7261655,left,-9,1,1,0.5158409,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
10,1,9,28.7402396,,28.7263553,28.7402396,29.2388679,29.2388679,29.255249,29.5385859,29.5618492,right,9,1,1,0.3214342,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
11,1,8,29.5725033,,29.5620508,29.5725033,30.0719094,30.0719094,30.0719094,30.3719564,30.7436766,right,8,1,1,0.6611018,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
12,1,8,30.7553029,,30.7438597,30.7553029,31.2553973,31.2553973,31.2553973,31.5555594,31.7933686,right,8,1,1,0.5352651,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
13,1,8,31.8054125,,31.7935596,31.8054125,32.3056521,32.3056521,32.3056521,32.6057299,32.7289171,left,-8,1,1,0.4097156,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
14,1,7,32.7535096,,32.7291818,32.7535096,33.2388109,33.2388109,33.2555279,33.5387798,33.7449188,left,-7,1,1,0.5004248,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
15,1,7,33.7556456,,33.7451039,33.7556456,34.2554996,34.2554996,34.2554996,34.5554922,34.7107142,left,-7,1,1,0.4429606,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
16,1,7,34.7223885,,34.7109324,34.7223885,35.2227531,35.2227531,35.2227531,35.5222204,35.6601473,left,-7,1,1,0.4351264,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
17,1,6,35.6721687,,35.660337,35.6721687,36.1723076,36.1723076,36.1723076,36.4723634,36.7437057,right,6,1,1,0.5673857,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
18,1,6,36.7556117,,36.7438961,36.7556117,37.2558502,37.2558502,37.2558502,37.5556538,37.7767099,right,6,1,1,0.5164233,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
19,1,6,37.7889722,,37.7768962,37.7889722,38.2889209,38.2889209,38.2889209,38.5890113,38.8100593,left,-6,1,1,0.5116078,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
20,1,5,38.8223614,,38.8102466,38.8223614,39.3223474,39.3223474,39.3223474,39.6220457,39.7432426,right,5,1,1,0.4104981,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
21,1,5,39.7557295,,39.7434271,39.7557295,40.2559864,40.2559864,40.2559864,40.5557421,40.6272346,left,-5,1,1,0.3544663,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
22,1,5,40.6390564,,40.6274299,40.6390564,41.1391204,41.1391204,41.1391204,41.4389468,41.5767953,left,-5,0,0,0.4284305,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
23,1,6,41.5891332,,41.5769893,41.5891332,42.0894199,42.0894199,42.0894199,42.3891786,42.8936325,left,-6,1,1,0.7938789,300697,1,2024-09-10_20h33.24.074,adaptive_staircase,2024.2.1post4,59.96235563,2024-09-10 20h33.29.676123 +0530
