reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,t,0.43793159996857867,None,0,0,0,5,0.2349506999598816,,0.21028519998071715,0.2349506999598816,1.002178599999752,1.002178599999752,1.2349123999592848,1.4609767000074498,t,0.43793159996857867,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
78,80,162,1,1,0,l,1.3079597000032663,None,0,1,1,6,1.484610999992583,,1.471199199964758,1.484610999992583,2.4682772000087425,2.4682772000087425,2.4849429999594577,3.7870121999876574,l,1.3079597000032663,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
11,30,7,2,2,0,t,0.43289250001544133,None,0,2,2,0,3.8184609999880195,,3.797863000014331,3.8184609999880195,4.801813500002027,4.801813500002027,4.8184296999825165,5.2380752000026405,t,0.43289250001544133,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
49,60,89,3,3,0,l,0.4405881999991834,None,0,3,3,4,5.268646300013643,,5.248023399966769,5.268646300013643,6.251842600002419,6.251842600002419,6.268647199962288,6.703578799962997,l,0.4405881999991834,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
15,35,13,4,4,0,t,0.6855584000004455,None,0,4,4,1,6.722920599975623,,6.710414899978787,6.722920599975623,7.710564100008924,7.710564100008924,7.72714219999034,8.412260799959768,t,0.6855584000004455,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
40,55,62,5,5,0,l,0.7175833999644965,None,0,5,5,3,8.435234699980356,,8.419827500008978,8.435234699980356,9.418779400002677,9.418779400002677,9.435287399974186,10.153748899989296,l,0.7175833999644965,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
27,50,21,6,6,0,t,0.4794317999621853,None,0,6,6,2,10.173008799960371,,10.16097249998711,10.173008799960371,11.160702599969227,11.160702599969227,11.177368299977388,11.645829099987168,t,0.4794317999621853,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
67,75,119,7,0,1,l,0.47500250005396083,None,1,0,7,5,11.668699599977117,,11.653648699983023,11.668699599977117,12.652137400000356,12.652137400000356,12.668762799992692,13.137266399979126,l,0.47500250005396083,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
27,50,21,8,1,1,t,0.6596456000115722,None,1,1,8,2,13.156838700000662,,13.144210099999327,13.156838700000662,14.144198099966161,14.144198099966161,14.160848499974236,14.812876799958758,t,0.6596456000115722,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
78,80,162,9,2,1,l,0.986657599976752,None,1,2,9,6,14.835518200008664,,14.820583499968052,14.835518200008664,15.818866899993736,15.818866899993736,15.835602500010282,16.821000800002366,l,0.986657599976752,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
15,35,13,10,3,1,t,1.4313095000106841,None,1,3,10,1,16.84077609999804,,16.828469300002325,16.84077609999804,17.82768559997203,17.82768559997203,17.844280199962668,19.262781199999154,t,1.4313095000106841,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
11,30,7,11,4,1,l,1.1942242999793962,None,1,4,11,0,19.28552239999408,,19.270421399967745,19.28552239999408,20.26922039996134,20.26922039996134,20.285772799979895,21.470100399979856,l,1.1942242999793962,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
40,55,62,12,5,1,t,1.116275200038217,None,1,5,12,3,21.48554129997501,,21.473895800008904,21.48554129997501,22.469113999977708,22.469113999977708,22.485725399979856,23.587681300006807,t,1.116275200038217,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
49,60,89,13,6,1,l,0.8710228000418283,None,1,6,13,4,23.60654989996692,,23.594328099978156,23.60654989996692,24.602720999973826,24.602720999973826,24.619288099987898,25.487390999973286,l,0.8710228000418283,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
78,80,162,14,0,2,t,0.4193500999826938,None,2,0,14,6,25.505947300000116,,25.493669599993154,25.505947300000116,26.50272320001386,26.50272320001386,26.519378700002562,26.937656399968546,t,0.4193500999826938,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
15,35,13,15,1,2,l,1.1268048000056297,None,2,1,15,1,26.95660500001395,,26.944646699994337,26.95660500001395,27.952465999987908,27.952465999987908,27.969371399958618,29.088251899986062,l,1.1268048000056297,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
40,55,62,16,2,2,t,0.41522069997154176,None,2,2,16,3,29.108865899965167,,29.09639479999896,29.108865899965167,30.094918499991763,30.094918499991763,30.111507099994924,30.513300799997523,t,0.41522069997154176,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
49,60,89,17,3,2,l,1.2947076000273228,None,2,3,17,4,30.53627039998537,,30.52065429999493,30.53627039998537,31.51965159998508,31.51965159998508,31.536306399968453,32.82144639996113,l,1.2947076000273228,None,506308,001,2024-11-18_12h05.59.129,delay_discounting,2024.2.1post4,60.142742787407435,2024-11-18 12h06.07.015547 +0530,
