delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,400,unexp,0,0,0,space,1.7653761000001396,None,100,1,[6.153267400000004],[6.153299699999934],0,0,0,1,0.060637900000074296,,0.04137170000012702,0.060637900000074296,1.0089152999998987,1.0089152999998987,1.0758387999999286,2.7813481000002866,space,1.7653761000001396,None,2.782139500000085,3.1925026666670115,3.563513900000089,3.4935159000001477,3.495815400000083,3.563513900000089,3.563513900000089,3.563513900000089,9.718270500000017,100,1,[6.153267400000004],[6.153299699999934],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,1000,exp,1,1,0,space,0.7390298999998777,None,888,1,[3.9172653000000537],[3.9172835999997915],0,1,1,4,9.730681000000004,,9.718810100000155,9.730681000000004,10.718451100000038,10.718451100000038,10.734907800000201,11.470482100000027,space,0.7390298999998777,None,11.47171389999994,11.876242666666956,12.198593699999947,12.173072999999931,12.173940399999992,12.198593699999947,12.198593699999947,12.198593699999947,16.11684030000015,888,1,[3.9172653000000537],[3.9172835999997915],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,1000,exp,2,2,0,space,1.9725311999995938,None,555,1,[3.536959200000183],[3.5369811999999],0,2,2,7,16.134974000000057,,16.11720009999999,16.134974000000057,17.118592900000294,17.118592900000294,17.135145199999897,19.104206400000294,space,1.9725311999995938,None,19.105440199999975,19.51002136666672,19.84964220000029,19.813270399999965,19.814358300000094,19.84964220000029,19.84964220000029,19.84964220000029,23.387953400000242,555,1,[3.536959200000183],[3.5369811999999],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,400,unexp,3,3,0,space,2.8901629000001776,None,300,1,[4.065312999999605],[4.065349199999673],0,3,3,2,23.402212800000143,,23.388451400000122,23.402212800000143,24.402418500000294,24.402418500000294,24.402418500000294,27.304216700000325,space,2.8901629000001776,None,27.305444699999953,28.010434566666632,28.346007399999962,28.313355700000102,28.314145100000133,28.346007399999962,28.346007399999962,28.346007399999962,32.41306850000001,300,1,[4.065312999999605],[4.065349199999673],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,1000,exp,4,4,0,space,1.214937799999916,None,22,1,[2.1348683000001074],[2.1348886000000675],0,4,4,6,32.428754200000185,,32.41364199999998,32.428754200000185,33.427276899999924,33.427276899999924,33.44401640000024,34.64609860000019,space,1.214937799999916,None,34.64732559999993,34.760669166666744,35.09437969999999,35.063139500000034,35.0638641999999,35.09437969999999,35.09437969999999,35.09437969999999,37.23050039999998,22,1,[2.1348683000001074],[2.1348886000000675],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,1000,exp,5,5,0,space,1.2937342000000172,None,900,1,[5.116778899999645],[5.116804499999944],0,5,5,8,37.2440345,,37.23099679999996,37.2440345,38.244103800000175,38.244103800000175,38.244103800000175,39.546257100000275,space,1.2937342000000172,None,39.54756540000017,40.26090036666689,40.59724219999998,40.56348620000017,40.564505499999996,40.59724219999998,40.59724219999998,40.59724219999998,45.715391700000055,900,1,[5.116778899999645],[5.116804499999944],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,400,unexp,6,6,0,space,0.9991635000001224,None,267,1,[6.655805899999905],[6.655829599999834],0,6,6,0,45.72792840000011,,45.715948300000036,45.72792840000011,46.727808200000254,46.727808200000254,46.727808200000254,47.730202499999905,space,0.9991635000001224,None,47.73139889999993,47.844535566667005,48.181145500000184,48.14307740000004,48.144103800000266,48.181145500000184,48.181145500000184,48.181145500000184,54.838209700000334,267,1,[6.655805899999905],[6.655829599999834],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.4,1000,exp,7,7,0,space,4.309754500000054,None,458,1,[4.317699299999731],[4.317719599999691],0,7,7,10,54.853489399999944,,54.83869709999999,54.853489399999944,55.85356700000011,55.85356700000011,55.85356700000011,60.17242840000017,space,4.309754500000054,None,60.173722100000305,60.578467466666794,60.91176620000033,60.873216700000285,60.87414050000007,60.91176620000033,60.91176620000033,60.91176620000033,65.2307080999999,458,1,[4.317699299999731],[4.317719599999691],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.1,1000,exp,8,8,0,space,1.3513526000001548,None,55,1,[2.8947653999998693],[2.894785800000136],0,8,8,9,65.24531270000034,,65.2312009000002,65.24531270000034,66.24565970000003,66.24565970000003,66.24565970000003,67.61413240000002,space,1.3513526000001548,None,67.61537570000019,67.72889016666683,68.06893340000033,68.0331999,68.03399900000022,68.06893340000033,68.06893340000033,68.06893340000033,70.96488420000014,55,1,[2.8947653999998693],[2.894785800000136],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
0.7,1000,exp,9,9,0,space,3.9134424999997464,None,667,1,[5.107153700000254],[5.107175300000108],0,9,9,5,70.97893500000009,,70.9653674000001,70.97893500000009,71.97899760000018,71.97899760000018,71.97899760000018,75.89776209999991,space,3.9134424999997464,None,75.89902470000015,76.61253826666668,76.94579350000004,76.9130439999999,76.91377200000034,76.94579350000004,76.94579350000004,76.94579350000004,82.05418009999994,667,1,[5.107153700000254],[5.107175300000108],052167,001,2024-11-13_13h45.43.780,intentional_binding,2024.2.1post4,60.9114299078454,2024-11-13 13h45.53.332322 +0530,
