12.5237 	INFO 	Loaded monitor calibration from ['2024_08_09 00:19']
12.5708 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
13.1712 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020C450EA530>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020C450EA4D0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020C450EA320>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000020C45C0D0C0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.1714 	EXP 	window1: backgroundImage = ''
13.1714 	EXP 	window1: backgroundFit = 'none'
13.1721 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020C450EA650>
13.1733 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020C450EA650>
13.1848 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020C450EA650>
13.1875 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020C450EA650>
13.3311 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020C450EA650>
13.3317 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020C450EA650>
13.3347 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020C450EA650>
13.3373 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020C450EA650>
13.3803 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.3804 	EXP 	window1: recordFrameIntervals = False
13.7340 	EXP 	window1: recordFrameIntervals = True
13.8877 	WARNING 	t of last frame was 20.05ms (=1/49)
13.9078 	WARNING 	t of last frame was 20.13ms (=1/49)
13.9337 	WARNING 	t of last frame was 25.88ms (=1/38)
14.1177 	EXP 	Screen (0) actual frame rate measured at 60.91Hz
14.1178 	EXP 	window1: recordFrameIntervals = False
14.1180 	EXP 	window1: mouseVisible = True
18.2212 	INFO 	keyboard.Keyboard is using iohub backend.
18.2213 	INFO 	keyboard.Keyboard is using iohub backend.
18.4313 	EXP 	intentional_binding: status = STARTED
18.4319 	EXP 	window1: mouseVisible = True
18.4508 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
18.4512 	EXP 	window1: mouseVisible = True
18.4636 	EXP 	Created polygon_2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1.    ,  0.0039, -1.    ]), fillColorSpace='rgb', fillRGB=array([-1.    ,  0.0039, -1.    ]), interpolate=True, lineColor=array([-1.    ,  0.0039, -1.    ]), lineColorSpace='rgb', lineRGB=array([-1.    ,  0.0039, -1.    ]), lineWidth=1.0, name='polygon_2', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
18.5061 	EXP 	Sound sound_1 set volume 1.000
18.5070 	EXP 	window1: mouseVisible = True
18.8242 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
18.8246 	EXP 	window1: mouseVisible = True
18.8248 	EXP 	window1: mouseVisible = True
18.8263 	EXP 	window1: mouseVisible = True
18.8283 	EXP 	window1: mouseVisible = True
18.8421 	EXP 	window1: mouseVisible = True
18.8423 	EXP 	window1: mouseVisible = True
18.8436 	EXP 	window1: mouseVisible = True
18.8447 	EXP 	window1: mouseVisible = True
18.8866 	EXP 	window1: mouseVisible = True
18.8867 	EXP 	window1: mouseVisible = True
18.8874 	EXP 	window1: mouseVisible = True
18.8881 	EXP 	window1: mouseVisible = True
18.9262 	EXP 	window1: mouseVisible = True
18.9264 	EXP 	window1: mouseVisible = True
18.9274 	EXP 	window1: mouseVisible = True
18.9284 	EXP 	window1: mouseVisible = True
0.0119 	EXP 	textbox: autoLog = True
