pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.5918027000006987,None,0,0,0,0,,,,,0.04087719999733963,,0.01930739999806974,0.04087719999733963,1.011706299999787,1.011706299999787,1.011706299999787,1.011706299999787,1.0409328999994614,2.007555099997262,2.007555099997262,2.6166768000002776,x,1,0.5918027000006987,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
150,v,1,1,0,v,1,0.30757879999873694,None,0,1,1,1,,,,,2.631813799998781,,2.6174279999977443,2.631813799998781,3.6164847999971244,3.6164847999971244,3.6164847999971244,3.6164847999971244,3.6330920999971568,4.616546799999924,4.616546799999924,4.9346638999995776,v,1,0.30757879999873694,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
50,c,2,2,0,c,1,0.5297411999999895,None,0,2,2,2,,,,,4.949715099999594,,4.935320299999148,4.949715099999594,5.949833200000285,5.949833200000285,5.949833200000285,5.949833200000285,5.949833200000285,6.949873099998513,6.949873099998513,7.484943600000406,c,1,0.5297411999999895,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-150,z,3,3,0,z,1,0.32783259999996517,None,0,3,3,3,,,,,7.4998010999988765,,7.4855968999982,7.4998010999988765,8.49988889999804,8.49988889999804,8.49988889999804,8.49988889999804,8.49988889999804,9.50000799999907,9.50000799999907,9.835442499999772,z,1,0.32783259999996517,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-50,x,4,0,1,x,1,0.575602599998092,None,1,0,4,0,,,,,9.850032999998803,,9.836156099998334,9.850032999998803,10.850129299997207,10.850129299997207,10.850129299997207,10.850129299997207,10.850129299997207,11.850101399999403,11.850101399999403,12.435279899997113,x,1,0.575602599998092,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
150,v,5,1,1,v,1,0.47324639999715146,None,1,1,5,1,,,,,12.450037099999463,,12.43594739999753,12.450037099999463,13.450161099997786,13.450161099997786,13.450161099997786,13.450161099997786,13.450161099997786,14.44139869999708,14.44139869999708,14.926653599999554,v,1,0.47324639999715146,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
50,c,6,2,1,c,1,0.3423046999996586,None,1,2,6,2,,,,,14.941417599999113,,14.927298700000392,14.941417599999113,15.94147410000005,15.94147410000005,15.94147410000005,15.94147410000005,15.94147410000005,16.941563599997608,16.941563599997608,17.293590699999186,c,1,0.3423046999996586,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-150,z,7,3,1,z,1,0.2887300000002142,None,1,3,7,3,,,,,17.30836199999976,,17.29430019999927,17.30836199999976,18.308243499999662,18.308243499999662,18.308243499999662,18.308243499999662,18.308243499999662,19.308474399997067,19.308474399997067,19.60984009999811,z,1,0.2887300000002142,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-50,x,8,0,2,x,1,0.3076902000029804,None,2,0,8,0,,,,,19.62490969999999,,19.610405899999023,19.62490969999999,20.625206499997148,20.625206499997148,20.625206499997148,20.625206499997148,20.625206499997148,21.625279500000033,21.625279500000033,21.94374659999812,x,1,0.3076902000029804,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
150,v,9,1,2,v,1,0.30305719999887515,None,2,1,9,1,,,,,21.95846299999903,,21.944483999999647,21.95846299999903,22.958590899997944,22.958590899997944,22.958590899997944,22.958590899997944,22.958590899997944,23.958554499997263,23.958554499997263,24.276766099999804,v,1,0.30305719999887515,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
