thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,up,0,0.7406679000123404,None,3,0,0,0,0,0.05185639997944236,,0.023913899960462004,0.05185639997944236,1.0148538000066765,1.066830999974627,1.8250828000018373,up,0,0.7406679000123404,None,3,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
1,0,1,down,0,0.8569324999698438,None,0,1,0,1,0,1.8337856999714859,,1.8253232999704778,1.8337856999714859,2.833771399979014,2.833771399979014,3.7045986999874003,down,0,0.8569324999698438,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
2,0,2,down,0,0.438781899982132,None,0,2,0,2,0,3.7169096999568865,,3.7048503999831155,3.7169096999568865,4.717229500005487,4.717229500005487,5.171492699999362,down,0,0.438781899982132,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
3,0,3,up,1,0.7418377000140026,None,0,3,0,3,0,5.183712199970614,,5.171758099982981,5.183712199970614,6.1839332999661565,6.1839332999661565,6.9383630999946035,up,1,0.7418377000140026,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
4,0,4,down,0,0.9573071000049822,None,0,4,0,4,0,6.950512999959756,,6.938629899988882,6.950512999959756,7.950809600006323,7.950809600006323,8.921534899971448,down,0,0.9573071000049822,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
5,0,5,up,1,0.9378956000437029,None,0,5,0,5,0,8.93401399999857,,8.921802199969534,8.93401399999857,9.933919899980538,9.933919899980538,10.888349599961657,up,1,0.9378956000437029,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
6,0,6,up,0,0.608203699986916,None,1,6,0,6,0,10.900643299974035,,10.888647599960677,10.900643299974035,11.900911099975929,11.900911099975929,12.522009300009813,up,0,0.608203699986916,None,1,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
7,0,7,up,1,0.6020972999976948,None,0,7,0,7,0,12.533852299966384,,12.522271499969065,12.533852299966384,13.534295799967367,13.534295799967367,14.13872089999495,up,1,0.6020972999976948,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
8,0,8,down,1,0.8239142000093125,None,-3,8,0,8,0,14.150558099965565,,14.138998899958096,14.150558099965565,15.15099219995318,15.15099219995318,15.988281400001142,down,1,0.8239142000093125,None,-3,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
9,0,9,up,1,0.7081667999736965,None,0,9,0,9,0,16.000653599970974,,15.988527299952693,16.000653599970974,17.001081399968825,17.001081399968825,17.72255750000477,up,1,0.7081667999736965,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
10,0,10,down,1,1.1153158999513835,None,2,10,0,10,0,17.734315699955914,,17.722845099982806,17.734315699955914,18.73446690000128,18.73446690000128,19.85538369999267,down,1,1.1153158999513835,None,2,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
11,0,11,down,1,0.9162407999974675,None,3,11,0,11,0,19.86755520000588,,19.85568899998907,19.86755520000588,20.86787179997191,20.86787179997191,21.789829599962104,down,1,0.9162407999974675,None,3,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
12,0,12,up,0,0.8146542999893427,None,2,12,0,12,0,21.80094950000057,,21.790129099972546,21.80094950000057,22.802827099978458,22.802827099978458,23.623728699982166,up,0,0.8146542999893427,None,2,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
13,0,13,down,1,1.216102399979718,None,2,13,0,13,0,23.634306799969636,,23.623976600007154,23.634306799969636,24.634707999997772,24.634707999997772,25.856609599955846,down,1,1.216102399979718,None,2,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
14,0,14,up,1,1.623664899962023,None,0,14,0,14,0,25.867725599964615,,25.856843299989123,25.867725599964615,26.867940599971917,26.867940599971917,28.506018099957146,up,1,1.623664899962023,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
15,0,15,up,1,0.887267799989786,None,0,15,0,15,0,28.51789729995653,,28.50628209998831,28.51789729995653,29.518230199988466,29.518230199988466,30.42401299998164,up,1,0.887267799989786,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
16,0,16,up,1,1.0226478000404313,None,0,16,0,16,0,30.435488099989016,,30.42431420000503,30.435488099989016,31.435037999995984,31.435037999995984,32.47306889999891,up,1,1.0226478000404313,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
17,0,17,up,1,0.9370400999905542,None,0,17,0,17,0,32.48469579999801,,32.47332809999352,32.48469579999801,33.48513250000542,33.48513250000542,34.43915140000172,up,1,0.9370400999905542,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
18,0,18,up,1,0.8035682999761775,None,0,18,0,18,0,34.45164939999813,,34.4394142999663,34.45164939999813,35.451727400009986,35.451727400009986,36.2564026999753,up,1,0.8035682999761775,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
