stimulus,cue,correct_response,task_type,thisN,thisTrialN,thisRepN,response.keys,response.corr,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction_routine.started,instruction_text.started,start_key.started,instruction_routine.stopped,start_key.keys,start_key.rt,start_key.duration,cue_routine.started,text_2.started,cue_routine.stopped,stimuli_routine.started,text_3.started,response.started,text_3.stopped,stimuli_routine.stopped,trials.response.keys,trials.response.corr,trials.response.rt,trials.response.duration,feedback_routine.started,feedback_test.started,feedback_routine.stopped,feedback_test.stopped,text_2.stopped,end_routine_2.started,text_5.started,text_5.stopped,end_routine_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.015145799989113584,0.03403439999965485,0.03403439999965485,3.1022574999951757,space,2.9950654999993276,None,,,,,,,,,,,,,,,,,,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
E,Task B,z,switch,0,0,0,z,1,2.1825881999975536,None,0,0,0,5,3.151383699994767,,,,,,,,,3.131867699994473,3.151383699994767,4.118061099987244,4.125476799992612,4.142544099988299,4.142544099988299,5.142123899990111,6.326681399994413,z,1,2.1825881999975536,None,6.33225369999127,6.345106699998723,8.340839099997538,,,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
2,Task A,m,repeat ,1,1,0,m,1,3.826739299998735,None,0,1,1,4,8.357268299994757,,,,,,,,,8.344324899997446,8.357268299994757,9.340369699988514,9.34542079998937,9.35668819998682,9.35668819998682,10.356416599999648,13.189689299993915,m,1,3.826739299998735,None,13.189813199991477,13.205092899996089,15.188298499997472,15.204192499993951,,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
1,Task A,z,repeat ,2,2,0,z,1,1.0390765000047395,None,0,2,2,2,15.204192499993951,,,,,,,,,15.188537999987602,15.204192499993951,16.187809299997753,16.19217499998922,16.203585699986434,16.203585699986434,17.203258899986395,17.254353599986644,z,1,1.0390765000047395,None,17.254471499996725,17.269853999998304,19.253019499999937,19.26869810000062,16.203585699986434,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
D,Task B,m,switch,3,3,0,m,1,0.8517295000056038,None,0,3,3,7,19.26869810000062,,,,,,,,,19.25663109999732,19.26869810000062,20.25255949998973,20.256675999989966,20.268602099997224,20.268602099997224,,21.13596189999953,m,1,0.8517295000056038,None,21.136084999991,21.151421899994602,23.13462329999311,23.150524599986966,20.268602099997224,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
3,Task A,z,repeat ,4,4,0,z,1,0.733891500000027,None,0,4,4,6,23.150524599986966,,,,,,,,,23.138050199995632,23.150524599986966,24.134212299992214,24.13935089998995,24.150777099988773,24.150777099988773,,24.901028699998278,z,1,0.733891500000027,None,24.901151499987463,24.91642769999453,26.899719599998207,26.91549519999535,24.150777099988773,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
9,Task A,z,repeat ,5,5,0,m,0,0.6048880000016652,None,0,5,5,18,26.91549519999535,,,,,,,,,26.89996079998673,26.91549519999535,27.89916689999518,27.903966799989576,27.915447599996696,27.915447599996696,,28.532689299987396,m,0,0.6048880000016652,None,28.539115499996115,28.55145059998904,30.547332699992694,,27.915447599996696,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
8,Task A,m,repeat ,6,6,0,m,1,1.2906301000039093,None,0,6,6,16,30.56388179998612,,,,,,,,,30.547587799999746,30.56388179998612,31.54688109998824,31.551109099993482,31.563118499994744,31.563118499994744,32.56284799998684,32.86377059998631,m,1,1.2906301000039093,None,32.86712509999052,32.87931549998757,34.86260399999446,34.87856629998714,,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
0,Task A,m,repeat ,7,7,0,z,0,2.284084900005837,None,0,7,7,0,34.87856629998714,,,,,,,,,34.862849599987385,34.87856629998714,35.862160699995,35.86707249999745,35.87835659999109,35.87835659999109,36.87768779999169,38.17859419999877,z,0,2.284084900005837,None,38.1817338999972,38.19382409998798,40.19299129999126,,35.87835659999109,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
5,Task A,z,repeat ,8,8,0,z,1,1.574790500002564,None,0,8,8,10,40.209489599990775,,,,,,,,,40.193255999998655,40.209489599990775,41.19257449998986,41.197355799988145,41.208929299988085,41.208929299988085,42.208613399998285,42.79283559999021,z,1,1.574790500002564,None,42.79605799999263,42.80801809999684,44.79154439999547,44.80732709998847,,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
4,Task A,m,repeat ,9,9,0,m,1,0.8311371000017971,None,0,9,9,8,44.80732709998847,,,,,,,,,44.79185999999754,44.80732709998847,45.79106469999533,45.79542679998849,45.80666289999499,45.80666289999499,,46.64094239998667,m,1,0.8311371000017971,None,46.64104369998677,46.65648269999656,48.63976319998619,48.655446899996605,45.80666289999499,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
S,Task B,m,switch,10,10,0,z,0,1.658789799999795,None,0,10,10,19,48.655446899996605,,,,,,,,,48.6433621999895,48.655446899996605,49.639261599993915,49.64531199999328,49.65706030000001,49.65706030000001,50.67136579999351,51.32234879999305,z,0,1.658789799999795,None,51.325789799986524,51.33775929998956,53.320898399993894,53.33679129999655,49.65706030000001,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
J,Task B,m,switch,11,11,0,z,0,2.0282811999932164,None,0,11,11,11,53.33679129999655,,,,,,,,,53.32114229998842,53.33679129999655,54.320403299992904,54.32652629999211,54.33812169999874,54.33812169999874,55.35257979999005,56.36990199999127,z,0,2.0282811999932164,None,56.37001980000059,56.38545149999845,58.36877669999376,58.384486599999946,54.33812169999874,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
I,Task B,z,switch,12,12,0,m,0,2.0181317000096897,None,0,12,12,9,58.384486599999946,,,,,,,,,58.36901599999692,58.384486599999946,59.368065599992406,59.37052909999329,59.383997299999464,59.383997299999464,60.38354419999814,61.417826099990634,m,0,2.0181317000096897,None,61.41794869999285,61.433175499987556,63.432329699993716,,59.383997299999464,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
U,Task B,z,switch,13,13,0,z,1,1.2309306999959517,None,0,13,13,17,63.44888579999679,,,,,,,,,63.432627599991974,63.44888579999679,64.43192399998952,64.44261439998809,64.45399379999435,64.45399379999435,65.4565564999939,65.6909433999972,z,1,1.2309306999959517,None,65.69404269999359,65.71452669998689,67.69707539999217,,,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
T,Task B,m,switch,14,14,0,m,1,0.4366969999973662,None,0,14,14,15,67.71352949998982,,,,,,,,,67.69732879998628,67.71352949998982,68.69654929998796,68.69916309999826,68.7130715999956,68.7130715999956,,69.1641324999946,m,1,0.4366969999973662,None,69.16425229999004,69.1796059999906,71.1627746999875,71.17864939999708,,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
A,Task B,z,switch,15,15,0,z,1,0.7098631999979261,None,0,15,15,1,71.17864939999708,,,,,,,,,71.16303529999277,71.17864939999708,72.16228779999074,72.16498259999207,72.17816559999483,72.17816559999483,,72.89579699999013,z,1,0.7098631999979261,None,72.89591839999775,72.91118939999433,74.89433449998614,74.91024779999861,72.17816559999483,,,,,439406,001,2024-12-06_13h10.48.669,TaskSwitching,2024.2.1post4,60.06583215159879,2024-12-06 13h11.00.738556 +0530,
