107.1569 	INFO 	Loaded monitor calibration from ['2024_08_09 00:19']
107.1953 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
107.6211 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D730B4DA80>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D730B4DA20>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D730B4E380>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001D726A8D090>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
107.6212 	EXP 	window1: backgroundImage = ''
107.6213 	EXP 	window1: backgroundFit = 'none'
107.6219 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D730B4DBA0>
107.6223 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D730B4DBA0>
107.6297 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D730B4DBA0>
107.6326 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D730B4DBA0>
107.7586 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D730B4DBA0>
107.7597 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D730B4DBA0>
107.7617 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D730B4DBA0>
107.7639 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D730B4DBA0>
107.8019 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
107.8020 	EXP 	window1: recordFrameIntervals = False
108.3150 	EXP 	window1: recordFrameIntervals = True
108.4147 	WARNING 	t of last frame was 50.00ms (=1/19)
108.4647 	WARNING 	t of last frame was 49.94ms (=1/20)
108.5147 	WARNING 	t of last frame was 50.03ms (=1/19)
108.5646 	WARNING 	t of last frame was 49.92ms (=1/20)
108.6345 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
109.2193 	EXP 	Screen (0) actual frame rate measured at 58.59Hz
109.2193 	EXP 	window1: recordFrameIntervals = False
109.2197 	EXP 	window1: mouseVisible = False
114.9093 	INFO 	keyboard.Keyboard is using iohub backend.
114.9094 	INFO 	keyboard.Keyboard is using iohub backend.
114.9095 	INFO 	keyboard.Keyboard is using iohub backend.
114.9095 	EXP 	TaskSwitching: status = STARTED
114.9100 	EXP 	window1: mouseVisible = False
115.1357 	EXP 	Created instruction_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instruction_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
115.1358 	EXP 	window1: mouseVisible = False
115.1374 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
115.1375 	EXP 	window1: mouseVisible = False
115.1393 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
115.1395 	EXP 	window1: mouseVisible = False
115.1411 	EXP 	Created feedback_test = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='feedback_test', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
115.1412 	EXP 	window1: mouseVisible = False
115.1524 	EXP 	Created text_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_5', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Thank you for participating!', units='height', win=Window(...), wrapWidth=1)
0.0027 	DATA 	Keypress: space
0.0359 	INFO 	Keyboard events cleared
0.0354 	EXP 	instruction_text: autoDraw = True
1.1812 	EXP 	Imported TaskSwitching_Stimuli.xlsx as conditions, 20 conditions, 4 params
1.1821 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'stimulus': 0, 'cue': 'Task A', 'correct_response': 'm', 'task_type': 'repeat ', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.1889 	DATA 	Keypress: space
1.1990 	EXP 	instruction_text: autoDraw = False
1.1990 	EXP 	text_2: height = 0.05
1.1990 	EXP 	text_2: height = 0.05
1.1990 	EXP 	text_2: height = 0.05
1.1990 	EXP 	text_2: text = 'Task A'
1.1990 	EXP 	text_2: autoDraw = True
2.1921 	INFO 	Keyboard events cleared
2.1915 	EXP 	text_2: autoDraw = False
2.1915 	EXP 	text_3: height = 0.05
2.1915 	EXP 	text_3: height = 0.05
2.1915 	EXP 	text_3: height = 0.05
2.1915 	EXP 	text_3: text = 0
2.1915 	EXP 	text_3: autoDraw = True
3.1912 	EXP 	text_3: autoDraw = False
3.9510 	DATA 	Keypress: m
3.9611 	EXP 	text_3: autoDraw = False
3.9611 	EXP 	feedback_test: height = 0.05
3.9611 	EXP 	feedback_test: height = 0.05
3.9611 	EXP 	feedback_test: height = 0.05
3.9611 	EXP 	feedback_test: text = 'Correct'
3.9611 	EXP 	feedback_test: autoDraw = True
5.9569 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'stimulus': 'E', 'cue': 'Task B', 'correct_response': 'z', 'task_type': 'switch', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
5.9730 	EXP 	feedback_test: autoDraw = False
5.9730 	EXP 	text_2: height = 0.05
5.9730 	EXP 	text_2: height = 0.05
5.9730 	EXP 	text_2: height = 0.05
5.9730 	EXP 	text_2: text = 'Task B'
5.9730 	EXP 	text_2: autoDraw = True
6.9731 	INFO 	Keyboard events cleared
6.9726 	EXP 	text_2: autoDraw = False
6.9726 	EXP 	text_3: height = 0.05
6.9726 	EXP 	text_3: height = 0.05
6.9726 	EXP 	text_3: height = 0.05
6.9726 	EXP 	text_3: text = 'E'
6.9726 	EXP 	text_3: autoDraw = True
7.9723 	EXP 	text_3: autoDraw = False
8.2149 	DATA 	Keypress: m
8.2249 	EXP 	text_3: autoDraw = False
8.2249 	EXP 	feedback_test: height = 0.05
8.2249 	EXP 	feedback_test: height = 0.05
8.2249 	EXP 	feedback_test: height = 0.05
8.2249 	EXP 	feedback_test: text = 'Incorrect'
8.2249 	EXP 	feedback_test: autoDraw = True
10.2216 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'stimulus': 2, 'cue': 'Task A', 'correct_response': 'm', 'task_type': 'repeat ', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
10.2379 	EXP 	feedback_test: autoDraw = False
10.2379 	EXP 	text_2: height = 0.05
10.2379 	EXP 	text_2: height = 0.05
10.2379 	EXP 	text_2: height = 0.05
10.2379 	EXP 	text_2: text = 'Task A'
10.2379 	EXP 	text_2: autoDraw = True
11.2380 	INFO 	Keyboard events cleared
11.2373 	EXP 	text_2: autoDraw = False
11.2373 	EXP 	text_3: height = 0.05
11.2373 	EXP 	text_3: height = 0.05
11.2373 	EXP 	text_3: height = 0.05
11.2373 	EXP 	text_3: text = 2
11.2373 	EXP 	text_3: autoDraw = True
11.7578 	DATA 	Keypress: z
11.7705 	EXP 	text_3: autoDraw = False
11.7705 	EXP 	feedback_test: text = 'Incorrect'
11.7705 	EXP 	feedback_test: autoDraw = True
13.7542 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'stimulus': 8, 'cue': 'Task A', 'correct_response': 'm', 'task_type': 'repeat ', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
13.7696 	EXP 	feedback_test: autoDraw = False
13.7696 	EXP 	feedback_test: autoDraw = False
13.7696 	EXP 	text_2: text = 'Task A'
13.7696 	EXP 	text_2: autoDraw = True
14.7697 	INFO 	Keyboard events cleared
14.7691 	EXP 	text_2: autoDraw = False
14.7691 	EXP 	text_2: autoDraw = False
14.7691 	EXP 	text_3: height = 0.05
14.7691 	EXP 	text_3: height = 0.05
14.7691 	EXP 	text_3: height = 0.05
14.7691 	EXP 	text_3: text = 8
14.7691 	EXP 	text_3: autoDraw = True
15.3555 	DATA 	Keypress: z
15.3689 	EXP 	text_3: autoDraw = False
15.3689 	EXP 	feedback_test: text = 'Incorrect'
15.3689 	EXP 	feedback_test: autoDraw = True
