stimulus,cue,correct_response,task_type,thisN,thisTrialN,thisRepN,response.keys,response.corr,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction_routine.started,instruction_text.started,start_key.started,instruction_routine.stopped,start_key.keys,start_key.rt,start_key.duration,cue_routine.started,text_2.started,cue_routine.stopped,stimuli_routine.started,text_3.started,response.started,text_3.stopped,stimuli_routine.stopped,trials.response.keys,trials.response.corr,trials.response.rt,trials.response.duration,feedback_routine.started,feedback_test.started,feedback_routine.stopped,feedback_test.stopped,text_2.stopped,end_routine_2.started,text_5.started,end_routine_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.011824899999737681,0.030628199999227945,0.030628199999227945,1.0576728999994884,space,0.9775143999995635,None,,,,,,,,,,,,,,,,,,,,,504627,001,2024-12-06_15h56.40.245,TaskSwitching,2024.2.1post4,59.87647483231757,2024-12-06 15h56.58.846180 +0530,
S,Task B,m,switch,0,0,0,m,1,4.366602200000671,None,0,0,0,19,1.0930323999991742,,,,,,,,,1.0774586999996245,1.0930323999991742,2.0597835999997187,2.06950229999984,2.0826600000000326,2.0826600000000326,3.0837563999994018,6.453020499999184,m,1,4.366602200000671,None,6.462855599999784,6.47670349999953,8.456684499999938,,,,,,504627,001,2024-12-06_15h56.40.245,TaskSwitching,2024.2.1post4,59.87647483231757,2024-12-06 15h56.58.846180 +0530,
0,Task A,m,repeat ,1,1,0,m,1,1.2680527000002257,None,0,1,1,0,8.473934899999222,,,,,,,,,8.462451499999588,8.473934899999222,9.456431799999336,9.461732099999608,9.472951699999612,9.472951699999612,10.472123699999429,10.757859399999688,m,1,1.2680527000002257,None,10.758023200000025,10.772538499999428,12.756308999999419,12.771463299999596,,,,,504627,001,2024-12-06_15h56.40.245,TaskSwitching,2024.2.1post4,59.87647483231757,2024-12-06 15h56.58.846180 +0530,
2,Task A,m,repeat ,2,2,0,z,0,0.7457080999993195,None,0,2,2,4,12.771463299999596,,,,,,,,,12.75681319999967,12.771463299999596,13.755176599999686,13.761122099999739,13.77245909999965,13.77245909999965,,14.522862499999974,z,0,0.7457080999993195,None,14.533043699999325,14.554097100000035,16.536715499999445,,13.77245909999965,,,,504627,001,2024-12-06_15h56.40.245,TaskSwitching,2024.2.1post4,59.87647483231757,2024-12-06 15h56.58.846180 +0530,
O,Task B,z,switch,3,3,0,m,0,1.0688642999994045,None,0,3,3,13,16.554960099999334,,,,,,,,,16.54266159999952,16.554960099999334,17.536540199999763,17.544555099999343,17.556822999999895,17.556822999999895,18.560015699999894,18.62923049999972,m,0,1.0688642999994045,None,18.629525499999545,18.652196699999877,20.63502999999946,,,,,,504627,001,2024-12-06_15h56.40.245,TaskSwitching,2024.2.1post4,59.87647483231757,2024-12-06 15h56.58.846180 +0530,
T,Task B,m,switch,4,4,0,m,1,1.0460268999995606,None,0,4,4,15,20.651114099999177,,,,,,,,,20.635462199999893,20.651114099999177,21.634505799999715,21.6381879999999,21.650834099999884,21.650834099999884,22.650672799999484,22.70249149999927,m,1,1.0460268999995606,None,22.708101399999578,22.72113889999946,24.70745790000001,,,,,,504627,001,2024-12-06_15h56.40.245,TaskSwitching,2024.2.1post4,59.87647483231757,2024-12-06 15h56.58.846180 +0530,
J,Task B,m,switch,5,5,0,z,0,1.0341207999999824,None,0,5,5,11,24.723871599999256,,,,,,,,,24.707775500000025,24.723871599999256,25.707110999999713,25.717717999999877,25.732364599999528,25.732364599999528,26.73194859999967,26.783911699999408,z,0,1.0341207999999824,None,26.78969799999959,26.80142479999995,28.797474499999225,,,,,,504627,001,2024-12-06_15h56.40.245,TaskSwitching,2024.2.1post4,59.87647483231757,2024-12-06 15h56.58.846180 +0530,
9,Task A,z,repeat ,6,6,0,z,1,1.1261388000002626,None,0,6,6,18,28.813964599999963,,,,,,,,,28.802115599999524,28.813964599999963,29.7970421,29.80270870000004,29.813931199999388,29.813931199999388,30.812957799999822,30.9474711999992,z,1,1.1261388000002626,None,30.951137600000038,30.963426699999218,32.96238369999992,,,,,,504627,001,2024-12-06_15h56.40.245,TaskSwitching,2024.2.1post4,59.87647483231757,2024-12-06 15h56.58.846180 +0530,
1,Task A,z,repeat ,7,7,0,z,1,0.5749645999994755,None,0,7,7,2,32.978898299999855,,,,,,,,,32.96282339999925,32.978898299999855,33.96223359999931,33.97002859999975,33.98186519999945,33.98186519999945,,34.56379619999916,z,1,0.5749645999994755,None,34.56395149999935,34.57800169999973,36.56200709999939,36.580127499999435,,,,,504627,001,2024-12-06_15h56.40.245,TaskSwitching,2024.2.1post4,59.87647483231757,2024-12-06 15h56.58.846180 +0530,
K,Task B,m,switch,8,8,0,z,0,1.0420977000003404,None,0,8,8,3,36.580127499999435,,,,,,,,,36.5680155,36.580127499999435,37.57729029999973,37.58621249999942,37.59802989999935,37.59802989999935,38.60081519999949,38.65263159999995,z,0,1.0420977000003404,None,38.65793239999948,38.67631209999945,40.65928319999966,,,,,,504627,001,2024-12-06_15h56.40.245,TaskSwitching,2024.2.1post4,59.87647483231757,2024-12-06 15h56.58.846180 +0530,
