thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixtion.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.16333333333333333],[-0.43833333333333335],[1],[0],[0],[12.872468300000037],['target'],0,0,0,0,0.06682069999988016,,5,0.05211959999996907,0.06682069999988016,0.06682069999988016,0.05186380000009194,12.925110099999984,[-0.16333333333333333],[-0.43833333333333335],[1],[0],[0],[12.872468300000037],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
1,0,1,[0.365],[0.11833333333333333],[1],[0],[0],[2.4329682999998568],['target'],1,0,1,0,12.952374700000064,,5,12.94115839999995,12.952374700000064,12.952374700000064,0.01584339999999429,15.374572599999965,[0.365],[0.11833333333333333],[1],[0],[0],[2.4329682999998568],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
2,0,2,[-0.016666666666666666],[0.34],[1],[0],[0],[2.5205645999999433],['target'],2,0,2,0,15.421570799999927,,10,15.403970099999924,15.421570799999927,15.421570799999927,0.02920170000015787,17.924947299999985,[-0.016666666666666666],[0.34],[1],[0],[0],[2.5205645999999433],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
3,0,3,[0.43],[0.17166666666666666],[1],[0],[0],[2.0667585000001054],['target'],3,0,3,0,17.953174999999874,,5,17.94143669999994,17.953174999999874,17.953174999999874,0.016322500000114815,20.008632999999918,[0.43],[0.17166666666666666],[1],[0],[0],[2.0667585000001054],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
4,0,4,[0.20833333333333334],[-0.43833333333333335],[1],[0],[0],[3.386068699999896],['target'],4,0,4,0,20.035969399999885,,5,20.02288640000006,20.035969399999885,20.035969399999885,0.01408329999981106,23.409409500000038,[0.20833333333333334],[-0.43833333333333335],[1],[0],[0],[3.386068699999896],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
5,0,5,[0.34833333333333333],[-0.025],[1],[0],[0],[1.7086536000001615],['target'],5,0,5,0,23.450792699999965,,10,23.435653199999933,23.450792699999965,23.450792699999965,0.026071499999943626,25.14483169999994,[0.34833333333333333],[-0.025],[1],[0],[0],[1.7086536000001615],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
6,0,6,[0.15666666666666668],[-0.006666666666666667],[1],[0],[0],[1.418259799999987],['target'],6,0,6,0,25.215902899999946,,10,25.192342399999916,25.215902899999946,25.215902899999946,0.04718619999994189,26.6110991999999,[0.15666666666666668],[-0.006666666666666667],[1],[0],[0],[1.418259799999987],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
7,0,7,[-0.095],[0.4216666666666667],[1],[0],[0],[2.101342700000032],['target'],7,0,7,0,26.685833999999886,,10,26.65880399999992,26.685833999999886,26.685833999999886,0.04747059999999692,28.760615299999927,[-0.095],[0.4216666666666667],[1],[0],[0],[2.101342700000032],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
8,0,8,[0.195],[-0.27],[1],[0],[0],[2.1899100000000544],['target'],8,0,8,0,28.80520189999993,,5,28.78655129999993,28.80520189999993,28.80520189999993,0.025642300000072282,30.97692559999996,[0.195],[-0.27],[1],[0],[0],[2.1899100000000544],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
9,0,9,[0.13833333333333334],[0.3433333333333333],[1],[0],[0],[2.0582500000000437],['target'],9,0,9,0,31.0389318,,10,31.01857610000002,31.0389318,31.0389318,0.041457899999841175,33.077386799999886,[0.13833333333333334],[0.3433333333333333],[1],[0],[0],[2.0582500000000437],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
10,0,10,[-0.31333333333333335],[-0.2816666666666667],[1],[0],[0],[2.245565800000122],['target'],10,0,10,0,33.10987660000001,,5,33.096863100000064,33.10987660000001,33.10987660000001,0.019235900000012407,35.34292920000007,[-0.31333333333333335],[-0.2816666666666667],[1],[0],[0],[2.245565800000122],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
11,0,11,[0.43166666666666664],[-0.4633333333333333],[1],[0],[0],[4.25571130000003],['target'],11,0,11,0,35.38495020000005,,10,35.36972700000001,35.38495020000005,35.38495020000005,0.026656799999955183,39.62585480000007,[0.43166666666666664],[-0.4633333333333333],[1],[0],[0],[4.25571130000003],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
12,0,12,[0.38333333333333336],[0.4766666666666667],[1],[0],[0],[2.908238699999856],['target'],12,0,12,0,39.66570120000006,,10,39.65182179999988,39.66570120000006,39.66570120000006,0.025809100000060425,42.560506999999916,[0.38333333333333336],[0.4766666666666667],[1],[0],[0],[2.908238699999856],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
13,0,13,[0.4633333333333333],[0.2833333333333333],[1],[0],[0],[1.8691628000001401],['target'],13,0,13,0,42.60579209999992,,10,42.59108470000001,42.60579209999992,42.60579209999992,0.030359099999941463,44.46066330000008,[0.4633333333333333],[0.2833333333333333],[1],[0],[0],[1.8691628000001401],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
14,0,14,[0.25666666666666665],[-0.2733333333333333],[1],[0],[0],[2.5794959999998355],['target'],14,0,14,0,44.49489560000006,,5,44.479752499999904,44.49489560000006,44.49489560000006,0.018895700000030047,47.05962679999993,[0.25666666666666665],[-0.2733333333333333],[1],[0],[0],[2.5794959999998355],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
15,0,15,[0.018333333333333333],[0.35333333333333333],[1],[0],[0],[2.157352800000126],['target'],15,0,15,0,47.09999960000005,,10,47.08522659999994,47.09999960000005,47.09999960000005,0.025465100000019447,49.242953299999954,[0.018333333333333333],[0.35333333333333333],[1],[0],[0],[2.157352800000126],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
16,0,16,[0.41],[-0.20166666666666666],[1],[0],[0],[2.6741355999999996],['target'],16,0,16,0,49.284367700000075,,10,49.26879609999992,49.284367700000075,49.284367700000075,0.025671399999964706,51.94336380000004,[0.41],[-0.20166666666666666],[1],[0],[0],[2.6741355999999996],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
17,0,17,[-0.09166666666666666],[0.06833333333333333],[1],[0],[0],[2.051341500000035],['target'],17,0,17,0,51.9710333999999,,5,51.959317300000066,51.9710333999999,51.9710333999999,0.015723999999863736,54.01108969999996,[-0.09166666666666666],[0.06833333333333333],[1],[0],[0],[2.051341500000035],['target'],104309,001,2024-10-10_13h58.29.525,visual search,2024.2.1post4,60.023144924646346,2024-10-10 13h59.11.346411 +0530,
