study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
tiger,0,0,0,2.011111111111111,2.6002446000002237,,,,,,,,,,,,0,0,0,1,,,,,0.09436519999962911,,0.04298629999993864,0.09436519999962911,0.09436519999962911,2.6765403999997943,2.011111111111111,2.6002446000002237,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
piano,1,1,0,2.011111111111111,1.011319999999614,,,,,,,,,,,,0,1,1,4,,,,,2.7233077000000776,,2.6987468999996054,2.7233077000000776,2.7233077000000776,3.741676699999516,2.011111111111111,1.011319999999614,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
marble,2,2,0,1,1.929781400000138,,,,,,,,,,,,0,2,2,12,,,,,3.7740780000003724,,3.748677800000223,3.7740780000003724,3.7740780000003724,5.708008699999482,1,1.929781400000138,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
book,3,3,0,3.011111111111111,1.5009577999999237,,,,,,,,,,,,0,3,3,2,,,,,5.727389099999527,,5.711038700000245,5.727389099999527,5.727389099999527,7.241737899999862,3.011111111111111,1.5009577999999237,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
pastry,4,4,0,4.025925925925926,1.355964500000482,,,,,,,,,,,,0,4,4,8,,,,,7.273241799999596,,7.253503599999931,7.273241799999596,7.273241799999596,8.629218000000037,4.025925925925926,1.355964500000482,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
police,5,5,0,5,1.8759000000000015,,,,,,,,,,,,0,5,5,11,,,,,8.656572199999573,,8.632559699999547,8.656572199999573,8.656572199999573,10.525419699999475,5,1.8759000000000015,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
orange,6,6,0,4.051851851851852,1.7474563000005219,,,,,,,,,,,,0,6,6,9,,,,,10.546135999999933,,10.528835000000072,10.546135999999933,10.546135999999933,12.295950099999573,4.051851851851852,1.7474563000005219,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
camera,7,7,0,4.051851851851852,1.1117199000000255,,,,,,,,,,,,0,7,7,6,,,,,12.323527800000193,,12.299011899999641,12.323527800000193,12.323527800000193,13.44233499999973,4.051851851851852,1.1117199000000255,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
board,8,8,0,3.0444444444444443,1.908423199999561,,,,,,,,,,,,0,8,8,13,,,,,13.490307699999903,,13.45465940000031,13.490307699999903,13.490307699999903,15.393215899999632,3.0444444444444443,1.908423199999561,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
phone,9,9,0,2.0037037037037035,1.4746666000000914,,,,,,,,,,,,0,9,9,5,,,,,15.423605799999677,,15.402874399999746,15.423605799999677,15.423605799999677,16.908480699999927,2.0037037037037035,1.4746666000000914,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
mouse,10,10,0,1,1.7313489000007394,,,,,,,,,,,,0,10,10,14,,,,,16.931055899999592,,16.912135700000363,16.931055899999592,16.931055899999592,18.665027199999713,1,1.7313489000007394,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
cushion,11,11,0,2.0703703703703704,1.608897799999795,,,,,,,,,,,,0,11,11,3,,,,,18.690291400000206,,18.669234899999537,18.690291400000206,18.690291400000206,20.3086002,2.0703703703703704,1.608897799999795,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
laptop,12,12,0,4.933333333333334,2.3137638999996852,,,,,,,,,,,,0,12,12,7,,,,,20.340664800000013,,20.31393019999996,20.340664800000013,20.340664800000013,22.659374500000013,4.933333333333334,2.3137638999996852,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
vase,13,13,0,4.933333333333334,1.0748730000004798,,,,,,,,,,,,0,13,13,0,,,,,22.6972681999996,,22.671045199999753,22.6972681999996,22.6972681999996,23.775155399999676,4.933333333333334,1.0748730000004798,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
keys,14,14,0,3.022222222222222,1.8499089999995704,,,,,,,,,,,,0,14,14,10,,,,,23.80746949999957,,23.779167200000302,23.80746949999957,23.80746949999957,25.65925799999968,3.022222222222222,1.8499089999995704,,,,,,,,,,,,,,,560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,0,0,0,,,c_m_r_,camera,old,,[0.005555555555555556],[-0.31574074074074077],[1],[0],[0],[0.3992052000003241],['text_3'],,,,,0,0,0,6,25.700227000000268,,,,,,,,25.676974599999994,25.700227000000268,25.700227000000268,25.700227000000268,0.017708699999275268,26.07712739999988,,[0.005555555555555556],[-0.31574074074074077],[1],[0],[0],[0.3992052000003241],['text_3'],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,1,1,0,,,t_b_e,table,new,table,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[6.130672900000718],['text_3'],,,,,0,1,1,16,26.107441899999685,,,,,,,,26.08235909999985,26.107441899999685,26.107441899999685,26.107441899999685,0.004983200000424404,32.21421800000007,table,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[6.130672900000718],['text_3'],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,2,2,0,,,b_tt_e,bottle,new,bottle,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[9.38317409999945],['text_3'],,,,,0,2,2,17,32.24396919999981,,,,,,,,32.2194185999997,32.24396919999981,32.24396919999981,32.24396919999981,0.004971800000021176,41.6038695999996,bottle,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[9.38317409999945],['text_3'],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,3,3,0,,,k_y_,keys,old,keys,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[6.505047700000432],['text_3'],,,,,0,3,3,10,41.63124659999994,,,,,,,,41.61040150000008,41.63124659999994,41.63124659999994,41.63124659999994,0.0061376000003292575,48.116605600000184,keys,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[6.505047700000432],['text_3'],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,4,4,0,,,_a_e,vase,old,vase,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[6.042813600000045],['text_3'],,,,,0,4,4,0,48.14586099999997,,,,,,,,48.12138539999978,48.14586099999997,48.14586099999997,48.14586099999997,0.004555200000140758,54.16538020000007,vase,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[6.042813600000045],['text_3'],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,5,5,0,,,_oo_,book,old,book,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[7.916038299999855],['text_3'],,,,,0,5,5,2,54.193315800000164,,,,,,,,54.16984390000016,54.193315800000164,54.193315800000164,54.193315800000164,0.004287400000066555,62.08713960000023,book,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[7.916038299999855],['text_3'],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,6,6,0,,,c_s_i_n,cushion,old,cushion,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[6.684949700000288],['text_3'],,,,,0,6,6,3,62.11690819999967,,,,,,,,62.0931128000002,62.11690819999967,62.11690819999967,62.11690819999967,0.00575719999960711,68.77933899999971,cushion,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[6.684949700000288],['text_3'],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,7,7,0,,,_as_r_,pastry,old,pastry,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[9.313144400000056],['text_3'],,,,,0,7,7,8,68.8093042999999,,,,,,,,68.7850443999996,68.8093042999999,68.8093042999999,68.8093042999999,0.005470299999615236,78.09941040000012,pastry,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[9.313144400000056],['text_3'],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,8,8,0,,,o_a_g_,orange,old,orange,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[4.6740436000000045],['text_3'],,,,,0,8,8,9,78.12900230000014,,,,,,,,78.10484429999997,78.12900230000014,78.12900230000014,78.12900230000014,0.00516929999957938,82.78008469999986,orange,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[4.6740436000000045],['text_3'],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,9,9,0,,,p_l_ce,police,old,,[],[],[],[],[],[],[],,,,,0,9,9,11,82.8098844999995,,,,,,,,82.78559669999959,82.8098844999995,82.8098844999995,82.8098844999995,0.00531929999942804,92.79709100000036,,[],[],[],[],[],[],[],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,10,10,0,,,_ar_l_,marble,old,,[],[],[],[],[],[],[],,,,,0,10,10,12,92.8270620000003,,,,,,,,92.80270169999949,92.8270620000003,92.8270620000003,92.8270620000003,0.02240449999953853,102.7995793,,[],[],[],[],[],[],[],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,11,11,0,,,m_u_e,mouse,old,mouse,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[7.126862699999947],['text_3'],,,,,0,11,11,14,102.82844180000029,,,,,,,,102.80513069999961,102.82844180000029,102.82844180000029,102.82844180000029,0.02482959999997547,109.93344619999971,mouse,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[7.126862699999947],['text_3'],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,12,12,0,,,_r_i_e,cruise,new,,[],[],[],[],[],[],[],,,,,0,12,12,19,109.96091379999962,,,,,,,,109.9387899000003,109.96091379999962,109.96091379999962,109.96091379999962,0.005114099999445898,119.93443649999972,,[],[],[],[],[],[],[],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,13,13,0,,,p__c_l,pencil,new,penc,[],[],[],[],[],[],[],,,,,0,13,13,15,119.9629901999997,,,,,,,,119.93997229999968,119.9629901999997,119.9629901999997,119.9629901999997,0.006316699999842967,129.93764379999993,penc,[],[],[],[],[],[],[],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,14,14,0,,,_ia_o,piano,old,piano,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[7.23989469999924],['text_3'],,,,,0,14,14,4,129.9663730000002,,,,,,,,129.9431942000001,129.9663730000002,129.9663730000002,129.9663730000002,0.00951589999931457,137.18429959999958,piano,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[7.23989469999924],['text_3'],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,15,15,0,,,b_a_d,board,old,,[],[],[],[],[],[],[],,,,,0,15,15,13,137.2144083000003,,,,,,,,137.1896332999995,137.2144083000003,137.2144083000003,137.2144083000003,0.00511110000024928,147.20393849999982,,[],[],[],[],[],[],[],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,16,16,0,,,p_o_e,phone,old,,[],[],[],[],[],[],[],,,,,0,16,16,5,147.23465209999995,,,,,,,,147.21041909999985,147.23465209999995,147.23465209999995,147.23465209999995,0.02590740000050573,157.2136832999995,,[],[],[],[],[],[],[],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,17,17,0,,,_a_t_p,laptop,old,laptop,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[6.050525900000139],['text_3'],,,,,0,17,17,7,157.24647619999996,,,,,,,,157.21887669999978,157.24647619999996,157.24647619999996,157.24647619999996,0.03435720000015863,163.27082559999963,laptop,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[6.050525900000139],['text_3'],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,18,18,0,,,t_g_r,tiger,old,tiger,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[6.593556100000569],['text_3'],,,,,0,18,18,1,163.3000747999995,,,,,,,,163.27645200000006,163.3000747999995,163.3000747999995,163.3000747999995,0.0053778999999849475,169.8713017,tiger,[0.06018518518518518],[-0.3101851851851852],[1],[0],[0],[6.593556100000569],['text_3'],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
,19,19,0,,,_h_r_,chart,new,,[],[],[],[],[],[],[],,,,,0,19,19,18,169.89803800000027,,,,,,,,169.87651670000014,169.89803800000027,169.89803800000027,169.89803800000027,0.004974999999831198,179.8864867000002,,[],[],[],[],[],[],[],560925,001,2024-11-03_03h12.03.590,wordpriming,2024.2.1post4,60.79858947290142,2024-11-03 03h12.13.471832 +0530,
