9.8459 	INFO 	Loaded monitor calibration from ['2024_08_09 00:19']
9.9078 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
10.6971 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023096A3A8C0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023096A3A860>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023096A3ADA0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023095F34BB0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.6972 	EXP 	window1: backgroundImage = ''
10.6972 	EXP 	window1: backgroundFit = 'none'
10.6984 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023096A3A9E0>
10.7002 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023096A3A9E0>
10.7185 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023096A3A9E0>
10.7212 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023096A3A9E0>
10.8176 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023096A3A9E0>
10.8187 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023096A3A9E0>
10.8210 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023096A3A9E0>
10.8231 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023096A3A9E0>
10.8480 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.8481 	EXP 	window1: recordFrameIntervals = False
11.2725 	EXP 	window1: recordFrameIntervals = True
11.4722 	EXP 	Screen (0) actual frame rate measured at 60.80Hz
11.4723 	EXP 	window1: recordFrameIntervals = False
11.4731 	EXP 	window1: mouseVisible = True
15.8844 	INFO 	keyboard.Keyboard is using iohub backend.
15.8845 	EXP 	wordpriming: status = STARTED
15.8850 	EXP 	window1: mouseVisible = True
15.9726 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
16.0524 	EXP 	window1: mouseVisible = True
16.0590 	EXP 	window1: mouseVisible = True
16.0593 	EXP 	window1: mouseVisible = True
16.0608 	EXP 	window1: mouseVisible = True
16.0621 	EXP 	window1: mouseVisible = True
16.0800 	EXP 	window1: mouseVisible = True
16.0802 	EXP 	window1: mouseVisible = True
16.0819 	EXP 	window1: mouseVisible = True
16.0834 	EXP 	window1: mouseVisible = True
16.0963 	EXP 	window1: mouseVisible = True
16.0966 	EXP 	window1: mouseVisible = True
16.0983 	EXP 	window1: mouseVisible = True
16.0999 	EXP 	window1: mouseVisible = True
16.1169 	EXP 	window1: mouseVisible = True
16.1172 	EXP 	window1: mouseVisible = True
16.1188 	EXP 	window1: mouseVisible = True
16.1204 	EXP 	window1: mouseVisible = True
16.1316 	EXP 	window1: mouseVisible = True
16.1470 	EXP 	window1: mouseVisible = True
16.1808 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=['Familiar', 'Unfamiliar'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.3]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
16.1811 	EXP 	window1: mouseVisible = True
16.1831 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
16.1837 	EXP 	window1: mouseVisible = True
16.1840 	EXP 	window1: mouseVisible = True
16.1859 	EXP 	window1: mouseVisible = True
16.1876 	EXP 	window1: mouseVisible = True
16.1986 	EXP 	window1: mouseVisible = True
16.1989 	EXP 	window1: mouseVisible = True
16.2004 	EXP 	window1: mouseVisible = True
16.2019 	EXP 	window1: mouseVisible = True
16.2605 	EXP 	window1: mouseVisible = True
16.4818 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([ 0. , -0.3]), rgb=UNKNOWN, text='Click to Submit', units='height', win=Window(...), wrapWidth=1)
0.0122 	EXP 	slider: autoLog = True
0.0122 	EXP 	slider: styleTweaks = []
0.0122 	EXP 	slider: styleTweaks = []
0.0122 	EXP 	slider: styleTweaks = []
0.0122 	EXP 	slider: styleTweaks = []
0.0122 	EXP 	slider: contrast = 1.0
0.0122 	EXP 	slider: markerPos = None
0.0122 	EXP 	slider: autoLog = True
0.0122 	EXP 	textbox: autoLog = True
0.0257 	EXP 	Imported study_words.xlsx as conditions, 15 conditions, 1 params
0.0266 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'study_word': 'tiger', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0944 	EXP 	text: height = 0.05
0.0944 	EXP 	text: height = 0.05
0.0944 	EXP 	text: height = 0.05
0.0944 	EXP 	text: text = 'tiger'
0.0944 	EXP 	slider: markerPos = None
0.0944 	EXP 	slider: markerPos = None
0.0944 	EXP 	text: autoDraw = True
